2018Rank,City,State,2018Estimate,2010Census,Change,2016LandAreaMi,2016LandAreaKm,2016PopulationDensityMi,2016PopulationDensityKm,latitude,longitude,FIPS Code,summary
1,New York City,New York,8398748,8175133,+2.74%,301.5 sq mi,780.9 km2,28317/sq mi,10933/km2,403949,735619,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3651000,"New York City is home to more than 3.2 million residents born outside the United States, the largest foreign-born population of any city in the world. The City of New York, usually called either New York City (NYC) or simply New York (NY), is the most populous city in the United States.The New York City Administrative Code, the New York City Rules, and the City Record are the code of local laws, compilation of regulations, and official journal, respectively.In 2006, the Sister City Program of the City of New York, Inc. was restructured and renamed New York City Global Partners.As of 2017, New York City was home to the highest number of billionaires of any city in the world at 103, including former Mayor Michael Bloomberg.Many large financial companies are headquartered in New York City, and the city is also home to a burgeoning number of financial startup companies.In 2019, New York was voted the greatest city in the world per a survey of over 30,000 people from 48 cities worldwide, citing the city's cultural diversity."
2,Los Angeles,California,3990456,3792621,+5.22%,468.7 sq mi,1213.9 km2,8484/sq mi,3276/km2,340110,1182439,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0644000,"The Korea Times is the city's major daily Korean language paper while The World Journal is the city and county's major Chinese newspaper.Despite the congestion in the city, the mean travel time for commuters in Los Angeles is shorter than other major cities, including New York City, Philadelphia and Chicago.Also, Los Angeles is increasingly becoming a city of apartments rather than single family dwellings, especially in the dense inner city and Westside neighborhoods.Los Angeles City Council also designated seven industrial zones within the city.The largest employers in the city as of 2009[update] were, in descending order, the City of Los Angeles, the County of Los Angeles, and University of California, Los Angeles.With 621,000 Jews in the metropolitan area (490,000 in city proper), the region has the second largest population of Jews in the United States.The XFL Los Angeles are tenants of Dignity Health Sports Park Los Angeles is a charter city as opposed to a general law city."
3,Chicago,Illinois,2705994,2695598,+0.39%,227.3 sq mi,588.7 km2,11900/sq mi,4600/km2,415015,874054,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1714000,"Chicago's 58 million domestic and international visitors in 2018 made it the second most visited city in the nation, behind New York City's approximate 65 million visitors.The city ranked first place in the 2018 Time Out City Life Index, a global quality of life survey of 15,000 people in 32 cities.The South Side is the largest section of the city, encompassing roughly 60% of the city's land area.The North Side is the most densely populated residential section of the city, and many high-rises are located on this side of the city along the lakefront.The City Council is the legislative branch and is made up of 50 aldermen, one elected from each ward in the city.The City of Chicago was incorporated on Saturday, March 4, 1837, and for several decades was the world's fastest-growing city.The desire to join the city was driven by municipal services that the city could provide its residents."
4,Houston,Texas,2325502,2100263,+10.72%,637.5 sq mi,1651.1 km2,3613/sq mi,1395/km2,294712,952327,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4835000,"Other nicknames often used by locals include ""Bayou City"", ""Clutch City"", ""Crush City"", ""Magnolia City"", and ""H-Town"".The city's elected officials are the mayor, city controller and 16 members of the Houston City Council.Under the city charter, once the population in the city limits exceeded 2.1 million residents, two additional districts were to be added.In 2012, the city was ranked number one for paycheck worth by Forbes and in late May 2013, Houston was identified as America's top city for employment creation.Leading in healthcare sectors and building oilfield equipment, Houston has the second most Fortune 500 headquarters of any U.S. municipality within its city limits (after New York City).During 1991–2015, the city controller and city council members were subjected to a two-year, three-term limitation – the 2015 referendum amended term limits to two four-year terms.Many of them near the city worked on sugar and cotton plantations, while most of those in the city limits had domestic and artisan jobs."
5,Phoenix,Arizona,1660272,1445632,+14.85%,517.6 sq mi,1340.6 km2,3120/sq mi,1200/km2,333420,1120524,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0455000,"Not since 1940–50, when the city had a population of 107,000, had the city gained less than 124,000 in a decade.It is also the fifth most populous city in the United States and the only state capital with a population of more than one million residents.The population density is 2,797.8 people per square mile, and the median age of the city is 32.2 years, with only 10.9 of the population being over 62.The construction industry, spurred on by the city's growth, further expanded with the development of Sun City.The city of Phoenix includes national parks, county (Maricopa County) parks and city parks.Today, the city is served by one major daily newspaper: The Arizona Republic, which along with its online entity, azcentral.com, serves the greater metropolitan area.The city offices were moved into the new City Hall at Washington and Central in 1888."
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81%,134.2 sq mi,347.6 km2,11683/sq mi,4511/km2,400034,750800,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4260000,"The City Planning Commission, tasked with guiding growth and development of the city, has divided the city into 18 planning districts as part of the Philadelphia2035 physical development plan.The city grew from an influx of European immigrants, most of whom came from Ireland, Italy and Germany—the three largest reported ancestry groups in the city as of 2015[update].As of 2014[update], the total city parkland, including municipal, state and federal parks within the city limits, amounts to 11,211 acres (17.5 sq mi).Center City had an estimated 183,240 residents as of 2015[update], making it the second-most populated downtown area in the United States, after Midtown Manhattan in New York City.The city became a member of the Organization of World Heritage Cities in 2015, as the first World Heritage City in the United States.Philadelphia's neighborhoods are divided into large sections—North, Northeast, South, Southwest Philadelphia, West, and Northwest—surrounding Center City, which corresponds closely with the city's limits before consolidation in 1854.The city's two largest employers are the federal and city governments."
7,San Antonio,Texas,1532233,1327407,+15.43%,461.0 sq mi,1194.0 km2,3238/sq mi,1250/km2,292821,983130,,"San Antonio became the largest American city without an intra-city rail system when Phoenix, the former largest city without such a system, procured one in 2008.The city is home to one of the largest concentrations of military bases in the U.S., and has been nicknamed Military City, USA.Downtown San Antonio, the city and metro area's urban core, encompasses many of the city's famous structures, attractions, and businesses.The River Walk, which meanders through the Downtown area, is the city's second-most-visited attraction, giving it the additional nickname of ""River City"".VIA also offers a special service to city events including Spurs games and city parades from its park and ride locations.According to the 2000 U.S. Census, the city proper had a population of 1,144,646, ranking it the ninth-most populated city in the country.Due to the size of the city and its horizontal development, downtown accounts for less than one half of one percent of San Antonio's geographic area."
8,San Diego,California,1425976,1307402,+9.07%,325.2 sq mi,842.3 km2,4325/sq mi,1670/km2,324855,1170806,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0666000,"The city has two major commercial airports within or near its city limits.Two years later the city was bankrupt; the California legislature revoked the city's charter and placed it under control of a board of trustees, where it remained until 1889.The members of the city council are each elected from single-member districts within the city.According to the City's 2016 Comprehensive Annual Financial Report, the top employers in the city are: San Diego has high real estate prices.The mayor and city attorney are elected directly by the voters of the entire city.The city recognized the importance of its neighborhoods when it organized its 2008 General Plan around the concept of a ""City of Villages"".In 2007, registered Democrats outnumbered Republicans by about 7 to 6 in the city, and Democrats currently (as of 2018[update]) hold a 6–3 majority in the city council."
9,Dallas,Texas,1345047,1197816,+12.29%,340.9 sq mi,882.9 km2,3866/sq mi,1493/km2,324736,964559,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4819000,"Several companies maintain the city's electric system, including Stream Energy, Cirro Energy and Oncor Electric Delivery, whose parent company, Energy Future Holdings Corporation, has headquarters in the city.The city of Dallas operates WRR 101.1 FM, the area's main classical music station, from city offices in Fair Park.The southeastern portion of the city Pleasant Grove is chiefly inhabited by black and Hispanic or Latino residents, while the southern portion of the city is predominantly black.Fire protection and emergency medical services in the city are provided by Dallas Fire-Rescue Department, which has 1,800 firefighters and 58 working fire stations in the city limits.The city is also home to Texas's first and largest zoo, the 106-acre (0.43 km2) Dallas Zoo, which opened at its current location in 1888.The city has a population from a myriad of ethnic and religious backgrounds and the one of the largest LGBT communities in the U.S. and the largest in Texas.Broadnax serving as city manager, and 14 council members serving as representatives to the 14 council districts in the city."
10,San Jose,California,1030119,945942,+8.90%,177.5 sq mi,459.7 km2,5777/sq mi,2231/km2,371748,1214908,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0668000,"Other city officers directly appointed by the council include the City Attorney, City Auditor, City Clerk, and Independent Police Auditor.The city has a council-manager government with a city manager nominated by the mayor and elected by the city council.The City Manager is the chief administrative officer of the city, and must present an annual budget for approval by the city council.The San Jose City Council is made up of ten council members elected by district, and a mayor elected by the entire city.[citation needed] During the 1950s and 1960s, City Manager A. P. ""Dutch"" Hamann led the city in a major growth campaign.With a total population of 1,015,785, San Jose became the 11th U.S. city to hit the 1 million mark, even though it is currently the 10th most populous city.Households in the city limits have the highest disposable income of any city in the U.S. with over 500,000 residents."
